obsolete	replacement
MONDO:0000505	MONDO:0000402
MONDO:0000506	MONDO:0010913
MONDO:0000511	MONDO:0006216
MONDO:0000512	MONDO:0017795
MONDO:0000522	MONDO:0015798
MONDO:0000523	MONDO:0006172
MONDO:0000526	MONDO:0006091
MONDO:0000528	MONDO:0005008
MONDO:0000529	MONDO:0005484
MONDO:0000533	MONDO:0015867
MONDO:0000535	MONDO:0006470
MONDO:0000537	MONDO:0006181
MONDO:0000538	MONDO:0006466
MONDO:0000542	MONDO:0006187
MONDO:0000546	MONDO:0006356
MONDO:0000547	MONDO:0005211
MONDO:0000555	MONDO:0017324
MONDO:0000556	MONDO:0015244
MONDO:0000557	MONDO:0100309
MONDO:0000558	MONDO:0017845
MONDO:0000559	MONDO:0016612
MONDO:0000560	MONDO:0010847
MONDO:0000561	MONDO:0011694
MONDO:0000564	MONDO:0009133
MONDO:0000566	MONDO:0005567
MONDO:0000567	MONDO:0007361
MONDO:0000570	MONDO:0011225
MONDO:0000571	MONDO:0012426
MONDO:0000574	MONDO:0015702
MONDO:0000575	MONDO:0015701
MONDO:0000576	MONDO:0014280
MONDO:0000578	MONDO:0014276
MONDO:0000579	MONDO:0014168
MONDO:0000580	MONDO:0010626
MONDO:0000581	MONDO:0013287
MONDO:0000582	MONDO:0000048
MONDO:0000584	MONDO:0013289
MONDO:0000585	MONDO:0015696
MONDO:0000593	MONDO:0017841
MONDO:0000604	MONDO:0001300
MONDO:0000609	MONDO:0010524
MONDO:0000613	MONDO:0006512
MONDO:0000614	MONDO:0006513
MONDO:0000617	MONDO:0006244
MONDO:0000619	MONDO:0005494
MONDO:0000622	MONDO:0005165
MONDO:0000623	MONDO:0005165
MONDO:0000635	MONDO:0018936
MONDO:0000638	MONDO:0021637
MONDO:0000641	MONDO:0007959
MONDO:0000642	MONDO:0850302
MONDO:0000655	MONDO:0019464
MONDO:0000656	MONDO:0015045
MONDO:0000657	MONDO:0015046
MONDO:0000658	MONDO:0015044
MONDO:0000689	MONDO:0009669
MONDO:0000691	MONDO:0021668
MONDO:0000692	MONDO:0007863
MONDO:0000695	MONDO:0009345
MONDO:0000696	MONDO:0011876
MONDO:0000697	MONDO:0010083
MONDO:0000699	MONDO:0009351
MONDO:0000711	MONDO:0008458
MONDO:0000712	MONDO:0017161
MONDO:0000713	MONDO:0016430
MONDO:0000714	MONDO:0019563
MONDO:0000717	MONDO:0008715
MONDO:0000718	MONDO:0007034
MONDO:0000719	MONDO:0017579
MONDO:0000720	MONDO:0008947
MONDO:0000725	MONDO:0010731
MONDO:0000729	MONDO:0008340
MONDO:0000730	MONDO:0020135
MONDO:0000731	MONDO:0019347
MONDO:0000735	MONDO:0008111
MONDO:0000737	MONDO:0009576
MONDO:0000738	MONDO:0020119
MONDO:0000752	MONDO:0019773
MONDO:0000753	MONDO:0019015
MONDO:0000759	MONDO:0007059
MONDO:0000760	MONDO:0018237
MONDO:0000765	MONDO:0020213
MONDO:0000767	MONDO:0005563
MONDO:0000768	MONDO:0018661
MONDO:0000808	MONDO:0006243
MONDO:0000810	MONDO:0010542
MONDO:0000817	MONDO:0010015
MONDO:0000818	MONDO:0013965
MONDO:0000821	MONDO:0011305
MONDO:0000822	MONDO:0016537
MONDO:0000823	MONDO:0012705
MONDO:0000825	MONDO:0019046
MONDO:0000826	MONDO:0010306
MONDO:0000829	MONDO:0017279
MONDO:0000830	MONDO:0007926
MONDO:0000832	MONDO:0005170
MONDO:0000835	MONDO:0005380
MONDO:0000838	MONDO:0019040
MONDO:0000841	MONDO:0009943
MONDO:0000842	MONDO:0007982
MONDO:0000843	MONDO:0009833
MONDO:0000844	MONDO:0016761
MONDO:0000846	MONDO:0009031
MONDO:0000847	MONDO:0009940
MONDO:0000848	MONDO:0007181
MONDO:0000850	MONDO:0007793
MONDO:0000851	MONDO:0019648
MONDO:0000852	MONDO:0019669
MONDO:0000853	MONDO:0007987
MONDO:0000854	MONDO:0019354
MONDO:0000855	MONDO:0019696
MONDO:0000856	MONDO:0019551
MONDO:0000860	MONDO:0018075
MONDO:0000861	MONDO:0008051
MONDO:0000862	MONDO:0019948
MONDO:0000864	MONDO:0019952
MONDO:0000865	MONDO:0009711
MONDO:0000867	MONDO:0017415
MONDO:0000869	MONDO:0007614
MONDO:0000876	MONDO:0015288
MONDO:0000877	MONDO:0005723
MONDO:0000880	MONDO:0005556
MONDO:0000881	MONDO:0015688
MONDO:0000882	MONDO:0015689
MONDO:0000883	MONDO:0015690
MONDO:0000884	MONDO:0013296
MONDO:0000885	MONDO:0009774
MONDO:0000886	MONDO:0006852
MONDO:0000887	MONDO:0019514
MONDO:0000896	MONDO:0006148
MONDO:0000897	MONDO:0020311
MONDO:0000899	MONDO:0015523
MONDO:0000900	MONDO:0017623
MONDO:0000905	MONDO:0000193
MONDO:0000906	MONDO:0011194
MONDO:0000907	MONDO:0008770
MONDO:0000915	MONDO:0007930
MONDO:0000917	MONDO:0019962
MONDO:0000932	MONDO:0005208
MONDO:0000982	MONDO:0014624
MONDO:0000985	MONDO:0016003
MONDO:0000998	MONDO:0005899
MONDO:0000999	MONDO:0015926
MONDO:0001002	MONDO:0008346
MONDO:0001010	MONDO:0019470
MONDO:0001013	MONDO:0006118
MONDO:0001018	MONDO:0004967
MONDO:0001026	MONDO:0005113
MONDO:0001043	MONDO:0005728
MONDO:0001047	MONDO:0000004
MONDO:0001058	MONDO:0004950
MONDO:0001069	MONDO:0019046
MONDO:0001070	MONDO:0018544
MONDO:0001077	MONDO:0015183
MONDO:0001097	MONDO:0020367
MONDO:0001102	MONDO:0017203
MONDO:0001107	MONDO:0020143
MONDO:0001111	MONDO:0018896
MONDO:0001124	MONDO:0016075
MONDO:0001131	MONDO:0006186
MONDO:0001140	MONDO:0018071
MONDO:0001189	MONDO:0019086
MONDO:0001194	MONDO:0019360
MONDO:0001201	MONDO:0010811
MONDO:0001248	MONDO:0019173
MONDO:0001264	MONDO:0017881
MONDO:0001267	MONDO:0015306
MONDO:0001278	MONDO:0006502
MONDO:0001289	MONDO:0006337
MONDO:0001311	MONDO:0020369
MONDO:0001333	MONDO:0018068
MONDO:0001344	MONDO:0016391
MONDO:0001346	MONDO:0018949
MONDO:0001348	MONDO:0019632
MONDO:0001354	MONDO:0017202
MONDO:0001359	MONDO:0016086
MONDO:0001389	MONDO:0015203
MONDO:0001425	MONDO:0010726
MONDO:0001432	MONDO:0020532
MONDO:0001448	MONDO:0017282
MONDO:0001450	MONDO:0015304
MONDO:0001477	MONDO:0019172
MONDO:0001483	MONDO:0020501
MONDO:0001486	MONDO:0018092
MONDO:0001489	MONDO:0019316
MONDO:0001524	MONDO:0005328
MONDO:0001545	MONDO:0019565
MONDO:0001550	MONDO:0007473
MONDO:0001570	MONDO:0016567
MONDO:0001573	MONDO:0009245
MONDO:0001581	MONDO:0018983
MONDO:0001587	MONDO:0018938
MONDO:0001599	MONDO:0019191
MONDO:0001605	MONDO:0003730
MONDO:0001619	MONDO:0019633
MONDO:0001659	MONDO:0021259
MONDO:0001669	MONDO:0008903
MONDO:0001675	MONDO:0019142
MONDO:0001677	MONDO:0017880
MONDO:0001696	MONDO:0020066
MONDO:0001726	MONDO:0015681
MONDO:0001738	MONDO:0017198
MONDO:0001755	MONDO:0006488
MONDO:0001759	MONDO:0020439
MONDO:0001796	MONDO:0009176
MONDO:0001814	MONDO:0011827
MONDO:0001826	MONDO:0017774
MONDO:0001839	MONDO:0018301
MONDO:0001840	MONDO:0015254
MONDO:0001859	MONDO:0019369
MONDO:0001865	MONDO:0017278
MONDO:0001891	MONDO:0006081
MONDO:0001900	MONDO:0019134
MONDO:0001908	MONDO:0018570
MONDO:0001934	MONDO:0016620
MONDO:0001937	MONDO:0007893
MONDO:0001948	MONDO:0018992
MONDO:0001958	MONDO:0020380
MONDO:0001960	MONDO:0008758
MONDO:0001961	MONDO:0016372
MONDO:0001963	MONDO:0005559
MONDO:0001968	MONDO:0010765
MONDO:0001970	MONDO:0008223
MONDO:0001980	MONDO:0019148
MONDO:0001981	MONDO:0019149
MONDO:0002001	MONDO:0005070
MONDO:0002003	MONDO:0006879
MONDO:0002005	MONDO:0019797
MONDO:0002007	MONDO:0008642
MONDO:0002011	MONDO:0019623
MONDO:0002015	MONDO:0009242
MONDO:0002016	MONDO:0016027
MONDO:0002018	MONDO:0018998
MONDO:0002019	MONDO:0016535
MONDO:0002020	MONDO:0017194
MONDO:0002023	MONDO:0018408
MONDO:0002024	MONDO:0015766
MONDO:0002054	MONDO:0007254
MONDO:0002059	MONDO:0021097
MONDO:0002079	MONDO:0019496
MONDO:0002080	MONDO:0019306
